% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 8 2025, 10:43
% Dimension:          2
% Nodes:              100000
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  H (m)                    nu (Pa*s)
10100                     100                      1.1265642668687211E-6    -1.3889662421573655E-8   336.6669043740932        1.7720148998013637E13
10300                     100                      1.156973722601178E-6     -1.4123997616667665E-8   336.1232021383495        1.774098397625939E13
10500                     100                      1.1879281370523032E-6    -1.4382498805787456E-8   335.4086408978533        1.7761818954505145E13
10700                     100                      1.2194234468010965E-6    -1.461129906187035E-8    334.88454849541915       1.77826539327509E13
10900                     100                      1.2514643660305581E-6    -1.4865339550986298E-8   334.18706634865947       1.780348891099665E13
11100.000000000002        100                      1.284048312775266E-6     -1.5107418856397166E-8   333.5605969502763        1.7824323889242402E13
11299.999999999998        100                      1.3171753617221635E-6    -1.5337055542461556E-8   333.0022862103474        1.7845158867488156E13
11500                     100                      1.3508491238739055E-6    -1.5593031843296803E-8   332.2738875359613        1.786599384573391E13
11700                     100                      1.3850647784536452E-6    -1.5816792143971314E-8   331.73578236512014       1.7886828823979668E13
11900                     100                      1.41982786561416E-6      -1.60680512383919E-8     331.02513032807883       1.790766380222542E13
12100                     100                      1.4551352856265378E-6    -1.6306407185998732E-8   330.3852604473121        1.792849878047117E13
12300                     100                      1.4909869816321317E-6    -1.6530804100404428E-8   329.815403542781         1.794933375871693E13
12500                     100                      1.527387202345052E-6     -1.678485682952054E-8    329.0740802656204        1.797016873696268E13
12700                     100                      1.5643305514287765E-6    -1.7003943141500993E-8   328.5223765914245        1.7991003715208434E13
12900                     100                      1.6018230311654229E-6    -1.725150620910657E-8    327.80201089975225       1.8011838693454188E13
13100                     100                      1.6398609656268867E-6    -1.748633454129077E-8    327.15085770496495       1.803267367169994E13
13300                     100                      1.6784447079983403E-6    -1.7706775234478902E-8   326.56818272507775       1.8053508649945695E13
13500                     100                      1.7175787953062235E-6    -1.7957491246377338E-8   325.81853523326083       1.8074343628191453E13
13700.000000000002        100                      1.7572567964042927E-6    -1.817124745988041E-8    325.25687116515235       1.8095178606437203E13
13899.999999999998        100                      1.7974859001978896E-6    -1.8416796197749857E-8   324.52601463714325       1.811601358468296E13
14100                     100                      1.8382619244645592E-6    -1.864760156438526E-8    323.8656006222174        1.813684856292871E13
14300                     100                      1.8795847656417137E-6    -1.886266356074647E-8    323.27426638499065       1.8157683541174465E13
14500                     100                      1.92145975594549E-6      -1.9111512955252506E-8   322.51576974530906       1.817851851942022E13
